id;tipo_dia;penetracao_pct;potencia_pv_total_mw;potencias_pv_kw;razoes_bess_h;capacidades_bess_kwh;fator_carga_barras
248;ceu_aberto;33,57;1,247;[18.69, 314.34, 134.54, 96.71, 591.52, 91.16];[1.501, 1.822, 1.717, 2.496, 1.875, 2.548];[28.05, 572.77, 231.0, 241.42, 1108.81, 232.3];[1.056, 1.0342, 0.9537, 1.0331, 1.0056, 0.9495, 0.8989, 1.0158, 0.9603, 1.0547, 1.0007, 0.965, 1.0899, 1.0288, 0.8172, 0.9757, 0.9308, 0.96, 0.9928, 1.0177, 1.0131, 1.0539, 1.0318, 1.0287, 1.0101, 1.0643, 0.9842, 0.9855, 0.9047, 1.0528, 0.9962, 1.1467]
249;parcialmente_nublado;58,44;2,1712;[581.07, 194.59, 572.25, 37.49, 357.37, 428.45];[3.697, 1.673, 2.813, 2.3, 2.148, 1.32];[2148.4, 325.55, 1609.56, 86.21, 767.74, 565.61];[1.0049, 0.9946, 0.9672, 1.0697, 1.0475, 1.0161, 0.98, 1.0532, 0.9768, 1.0785, 1.0056, 1.0615, 0.9943, 1.0036, 1.0613, 1.1097, 1.078, 1.0439, 1.0295, 0.9747, 1.0148, 0.9543, 1.0188, 1.022, 0.902, 1.0019, 1.0207, 0.9958, 1.0179, 0.9329, 0.9612, 1.0517]
250;parcialmente_nublado;65,04;2,4162;[236.85, 364.01, 500.78, 1157.22, 110.3, 47.01];[2.882, 2.182, 1.489, 1.351, 2.677, 1.901];[682.52, 794.41, 745.52, 1563.71, 295.24, 89.39];[1.0278, 0.938, 0.9981, 0.9182, 0.8577, 0.9466, 0.9692, 1.0322, 1.0034, 1.0047, 0.9493, 0.9735, 0.9535, 0.9388, 0.9703, 1.0037, 0.9714, 0.9838, 1.0347, 0.975, 0.9333, 1.0282, 1.0133, 1.0164, 1.0313, 1.0228, 1.0014, 1.1196, 0.9358, 0.9707, 1.0484, 1.0071]
251;ceu_aberto;72,91;2,7087;[611.63, 293.25, 302.4, 364.71, 247.11, 889.58];[2.954, 2.322, 2.194, 2.095, 1.85, 1.257];[1806.79, 681.03, 663.34, 764.13, 457.26, 1118.29];[0.9553, 0.9421, 1.0755, 1.0131, 1.0293, 0.9931, 1.0145, 1.0466, 0.9502, 1.0132, 1.0348, 1.0772, 1.0974, 1.0035, 1.0569, 0.8665, 1.0776, 0.9637, 0.9879, 1.0221, 0.9923, 1.0098, 1.0794, 0.9808, 0.9457, 1.0907, 1.0263, 1.0961, 1.0432, 0.9338, 1.0323, 0.9508]
252;parcialmente_nublado;27,04;1,0047;[172.5, 164.75, 163.02, 334.84, 58.08, 111.46];[2.858, 3.938, 1.937, 3.869, 1.446, 3.292];[493.09, 648.86, 315.78, 1295.49, 84.0, 366.94];[1.0565, 1.0237, 1.0075, 0.9651, 1.0408, 1.0103, 0.9622, 0.9972, 1.0315, 1.0276, 1.0244, 1.0046, 1.0513, 1.0619, 1.0369, 0.9706, 0.9471, 0.9728, 1.0977, 1.0141, 1.1063, 0.994, 0.9871, 0.9963, 0.9954, 0.9613, 0.9426, 1.0251, 1.0527, 1.1222, 0.9783, 0.9824]
253;ceu_aberto;20,17;0,7495;[106.39, 49.25, 14.02, 65.83, 148.88, 365.09];[2.122, 2.628, 3.554, 2.002, 1.427, 1.846];[225.8, 129.43, 49.84, 131.79, 212.42, 673.82];[0.9792, 0.8995, 1.0358, 0.9939, 0.9864, 0.9866, 1.0007, 1.0327, 0.9974, 0.9319, 1.0288, 1.0249, 1.0103, 1.0538, 1.0015, 1.0556, 1.0704, 1.0291, 0.9626, 0.9935, 1.0619, 0.9251, 0.9804, 0.9829, 0.9567, 1.0436, 1.0188, 0.9644, 1.0303, 0.9921, 0.9555, 0.9644]
254;ceu_aberto;84,11;3,1249;[284.28, 111.82, 1453.82, 167.68, 244.88, 862.37];[3.051, 3.401, 1.552, 2.057, 1.378, 2.623];[867.25, 380.32, 2255.74, 344.9, 337.35, 2262.1];[1.0512, 0.9438, 1.0274, 0.996, 0.972, 0.9949, 1.054, 0.9404, 0.9794, 0.9624, 0.9981, 0.9658, 0.9116, 0.9472, 1.0819, 1.0123, 1.0106, 0.9859, 0.9974, 0.9785, 1.0263, 1.005, 0.9414, 1.0127, 0.8771, 1.0207, 0.9295, 0.9952, 0.9403, 1.0001, 1.0289, 1.0751]
255;parcialmente_nublado;49,25;1,8297;[625.12, 17.43, 280.93, 462.61, 12.67, 430.96];[2.963, 3.278, 1.34, 3.972, 2.819, 2.09];[1852.07, 57.12, 376.48, 1837.34, 35.71, 900.53];[1.0225, 0.9226, 1.0028, 1.0517, 0.9393, 1.0689, 0.9244, 0.9604, 0.9529, 1.0688, 0.9754, 0.9419, 1.0223, 1.0331, 1.0334, 0.9864, 1.0127, 0.9675, 1.0837, 1.0572, 1.0541, 1.0397, 1.026, 0.9378, 1.0317, 1.0057, 1.0632, 1.0404, 1.0275, 0.9158, 0.9955, 0.9721]
256;ceu_aberto;89,93;3,341;[36.57, 389.74, 142.12, 15.36, 112.19, 2645.07];[1.645, 3.805, 1.616, 3.794, 2.964, 1.34];[60.14, 1483.0, 229.63, 58.26, 332.51, 3543.49];[0.9125, 1.0395, 0.9473, 0.8971, 1.0911, 0.9571, 0.9639, 1.0567, 1.0927, 0.9233, 0.9522, 0.9559, 1.0467, 1.082, 0.946, 1.0707, 0.9645, 1.0168, 0.9364, 0.9939, 0.9944, 0.9842, 1.0192, 0.9496, 0.9558, 1.0219, 1.0671, 0.9989, 1.0252, 1.0379, 1.0415, 0.9523]
257;ceu_aberto;83,9;3,1169;[963.72, 252.33, 818.11, 460.14, 263.36, 359.23];[3.686, 2.079, 1.862, 2.055, 1.644, 2.634];[3552.33, 524.48, 1523.49, 945.79, 432.93, 946.18];[1.0153, 0.983, 1.0247, 0.9308, 1.0649, 0.9908, 1.0382, 1.048, 0.9421, 1.0441, 0.9287, 0.9315, 1.0982, 1.0556, 1.1037, 0.9815, 1.0051, 1.0264, 0.9994, 0.9627, 0.9552, 1.0107, 0.9467, 0.9453, 1.0197, 0.9952, 1.0469, 0.9788, 0.9709, 1.0212, 0.9594, 0.9671]
258;ceu_aberto;71,22;2,6457;[57.93, 591.16, 843.5, 840.79, 163.07, 149.28];[2.564, 3.903, 3.762, 2.079, 3.339, 3.764];[148.54, 2307.49, 3172.89, 1747.94, 544.56, 561.87];[1.0366, 0.9735, 0.9574, 0.9369, 1.0017, 0.9288, 1.005, 1.0608, 0.9823, 0.9732, 1.0999, 1.0755, 0.9618, 1.007, 1.0164, 1.0102, 1.0907, 1.0044, 1.0119, 1.0344, 1.0595, 1.0468, 1.0269, 0.9221, 0.9756, 1.041, 1.0125, 1.0413, 1.0944, 0.9412, 1.0569, 0.9835]
259;parcialmente_nublado;59,84;2,2231;[305.15, 1011.93, 128.18, 456.6, 241.87, 79.33];[2.846, 3.902, 1.373, 2.522, 1.155, 1.964];[868.43, 3948.06, 175.98, 1151.47, 279.32, 155.77];[1.0536, 1.019, 0.9861, 1.0862, 0.9866, 1.0279, 0.9917, 1.0816, 1.0043, 1.0058, 0.993, 1.0098, 1.06, 1.0423, 1.0014, 1.0851, 1.0436, 0.9781, 0.931, 0.9792, 1.0207, 1.0299, 1.068, 0.9453, 0.978, 0.9411, 0.9331, 0.9686, 1.0183, 1.0386, 0.9526, 0.9595]
260;ceu_aberto;58,01;2,1552;[468.31, 122.34, 695.19, 231.18, 183.95, 454.26];[1.304, 3.321, 1.729, 1.842, 2.798, 3.706];[610.83, 406.31, 1201.88, 425.93, 514.75, 1683.41];[1.0923, 1.0486, 0.9634, 1.042, 0.9847, 1.0608, 0.9757, 0.9474, 0.9602, 0.9628, 0.958, 0.9714, 1.0428, 1.0898, 0.9335, 1.0632, 0.9761, 1.0174, 0.9173, 1.0262, 0.8997, 1.0157, 1.0129, 1.0096, 0.9633, 1.0275, 1.0196, 0.9895, 1.0336, 0.9952, 1.0264, 0.9937]
261;ceu_aberto;96,18;3,5732;[1282.31, 18.29, 477.04, 277.0, 946.18, 572.33];[3.893, 1.657, 2.764, 3.101, 3.477, 2.221];[4992.68, 30.3, 1318.34, 858.89, 3289.58, 1271.1];[0.9433, 1.0538, 1.0464, 0.9924, 1.057, 0.9776, 0.9367, 1.0489, 0.9957, 1.0301, 1.091, 0.9639, 0.9928, 1.0785, 1.0334, 0.965, 0.9522, 0.9736, 0.9631, 1.0119, 1.0039, 1.014, 0.958, 0.9965, 0.8972, 1.0073, 1.0588, 0.9288, 1.0242, 0.9694, 1.0401, 1.0079]
262;parcialmente_nublado;33,86;1,2578;[90.67, 84.5, 292.25, 16.42, 416.04, 357.89];[3.298, 1.928, 3.469, 1.548, 1.373, 1.135];[299.01, 162.93, 1013.71, 25.43, 571.31, 406.16];[0.9918, 1.0188, 0.9893, 1.0197, 0.9996, 1.0407, 0.9591, 0.9115, 0.9513, 1.0534, 0.9923, 1.0046, 0.9473, 1.0033, 0.9489, 0.9562, 0.9799, 1.0223, 1.0276, 1.029, 0.9206, 0.9997, 0.9902, 0.9234, 1.0008, 0.9875, 1.0256, 1.0041, 0.9725, 1.0463, 0.8889, 0.9968]
263;nublado;23,71;0,881;[210.77, 128.28, 287.92, 116.88, 128.35, 8.78];[3.006, 1.819, 1.059, 1.199, 3.872, 2.038];[633.48, 233.39, 304.93, 140.18, 496.95, 17.9];[0.9843, 1.0293, 1.0199, 0.9503, 0.9532, 0.9986, 1.033, 1.0931, 1.0151, 1.0504, 0.9194, 1.1006, 1.0303, 0.9975, 0.9918, 0.9446, 0.9589, 1.0955, 0.9505, 0.9496, 0.9649, 0.9401, 1.0008, 1.0544, 0.9695, 0.9313, 1.0146, 0.9972, 1.0501, 0.9773, 0.987, 0.9925]
264;parcialmente_nublado;91,23;3,3891;[493.03, 1547.27, 430.59, 208.59, 264.67, 444.99];[2.59, 3.062, 1.673, 2.977, 3.336, 3.03];[1276.93, 4737.77, 720.59, 620.89, 882.87, 1348.21];[1.0127, 0.9995, 0.9553, 0.9892, 0.9744, 1.0286, 0.9575, 1.0282, 0.9581, 0.9869, 1.0308, 0.9648, 1.0325, 1.0276, 0.9865, 1.0581, 1.0039, 1.0551, 1.0897, 0.9879, 1.0322, 0.9681, 0.9484, 0.9902, 0.9319, 0.9531, 1.0296, 0.9743, 1.0355, 1.015, 1.0926, 1.0262]
265;nublado;33,02;1,2269;[50.68, 218.55, 408.74, 435.62, 80.23, 33.05];[2.153, 3.755, 2.636, 1.96, 1.971, 1.396];[109.14, 820.56, 1077.48, 853.94, 158.13, 46.14];[1.0729, 0.9933, 1.0001, 1.0255, 1.0253, 0.954, 0.997, 1.0018, 1.0136, 1.0145, 1.1294, 0.9412, 1.049, 1.0592, 1.0246, 0.9675, 1.0832, 0.8904, 0.9658, 1.0586, 0.9815, 1.0798, 0.9244, 0.9444, 0.9734, 1.0209, 0.9889, 0.9755, 1.071, 1.0757, 0.9793, 0.9145]
266;nublado;77,28;2,8708;[989.82, 46.45, 583.27, 1166.54, 75.43, 9.26];[3.444, 3.137, 2.237, 3.821, 3.3, 3.904];[3408.62, 145.69, 1304.56, 4457.57, 248.91, 36.14];[0.9983, 1.0389, 1.0388, 1.0584, 1.0276, 1.0298, 0.9777, 0.9709, 1.039, 0.9713, 0.999, 1.069, 1.061, 1.0151, 0.9852, 0.9938, 1.0434, 0.9982, 0.9721, 1.0608, 1.0091, 0.9711, 1.0239, 1.0486, 0.9496, 0.99, 0.9877, 1.0226, 1.0316, 0.9724, 0.9254, 1.0516]
267;ceu_aberto;25,76;0,9569;[266.05, 44.81, 31.17, 302.41, 227.45, 85.04];[1.056, 3.246, 2.007, 2.165, 1.476, 2.57];[280.82, 145.43, 62.55, 654.67, 335.77, 218.58];[0.9567, 1.0466, 1.0095, 0.9716, 0.9651, 1.031, 1.0106, 0.9393, 0.9026, 1.0941, 0.9389, 1.0264, 1.0755, 1.0074, 0.97, 0.9287, 0.928, 1.0188, 1.0725, 0.9802, 0.9722, 1.0349, 0.9657, 1.0137, 1.0021, 0.9795, 0.9992, 1.0882, 1.0302, 1.0546, 0.9541, 1.0548]
268;ceu_aberto;20,97;0,7789;[155.14, 115.44, 157.0, 293.64, 19.79, 37.89];[3.987, 1.469, 3.162, 3.175, 3.049, 1.682];[618.61, 169.57, 496.43, 932.39, 60.34, 63.74];[1.0325, 0.9443, 1.027, 0.9475, 0.8785, 0.992, 1.0129, 0.9942, 1.1434, 1.0189, 1.0074, 1.0215, 0.9779, 1.0465, 1.0181, 1.0158, 0.9688, 0.9218, 0.9749, 1.0141, 0.9778, 1.0146, 0.9884, 1.0215, 0.9512, 1.0096, 0.968, 0.9231, 0.9917, 1.0768, 0.9271, 1.006]
269;parcialmente_nublado;50,65;1,8817;[76.28, 946.06, 176.35, 245.06, 147.64, 290.35];[3.256, 2.971, 3.993, 2.379, 3.119, 3.393];[248.39, 2811.14, 704.21, 583.1, 460.41, 985.25];[0.9622, 0.8907, 0.9912, 0.8952, 0.9504, 0.9563, 0.9716, 1.041, 1.0519, 1.0254, 1.0316, 1.0328, 0.8752, 1.0005, 0.9102, 1.0255, 0.8953, 0.991, 1.0274, 0.9441, 1.0481, 1.0253, 1.019, 1.0349, 0.982, 1.0076, 1.0005, 0.9994, 0.9664, 0.9379, 0.9832, 0.9804]
270;parcialmente_nublado;54,21;2,014;[303.92, 169.03, 604.64, 385.79, 449.66, 100.93];[3.909, 2.981, 1.592, 3.251, 1.521, 1.19];[1187.96, 503.78, 962.33, 1254.37, 684.0, 120.13];[1.1294, 1.0666, 0.9734, 0.9455, 0.9956, 1.0091, 1.0533, 0.9416, 1.0143, 0.9235, 1.0218, 0.9946, 1.0968, 0.9227, 1.0685, 0.9148, 0.9336, 0.9161, 1.0125, 0.9413, 0.9326, 1.0101, 1.0226, 1.002, 0.9919, 1.0914, 1.0073, 1.0403, 1.0071, 0.9451, 1.0275, 0.9672]
271;ceu_aberto;22,03;0,8185;[256.06, 399.81, 42.95, 11.13, 105.57, 2.98];[2.447, 1.815, 2.42, 1.055, 1.155, 1.048];[626.69, 725.78, 103.95, 11.74, 121.92, 3.12];[1.0518, 1.1026, 1.0339, 0.9383, 0.9827, 1.0298, 1.0242, 1.0494, 0.9951, 0.9818, 1.0876, 1.0029, 0.9492, 1.0738, 0.9252, 0.8252, 1.0385, 1.0455, 1.0207, 0.9349, 0.9971, 0.9861, 0.9731, 1.0706, 0.9477, 1.0158, 1.0597, 1.0191, 1.0621, 1.0282, 1.0215, 1.0183]
272;parcialmente_nublado;23,79;0,8837;[444.52, 42.09, 100.5, 16.79, 33.11, 246.67];[3.078, 3.031, 2.656, 3.858, 2.522, 2.348];[1368.13, 127.57, 266.96, 64.78, 83.48, 579.25];[0.9804, 0.9877, 0.9051, 1.0247, 0.9276, 1.0059, 1.0452, 0.9765, 1.0608, 0.9627, 1.03, 0.9348, 1.0516, 1.0438, 1.0234, 0.9803, 0.9299, 0.9805, 1.0555, 1.0065, 0.9223, 0.9438, 1.0627, 1.0244, 0.9383, 0.9117, 0.9687, 0.9074, 0.9922, 1.1226, 0.9202, 0.9907]
273;ceu_aberto;28,35;1,0533;[18.49, 168.96, 516.13, 10.34, 57.02, 282.34];[3.478, 3.422, 3.355, 1.389, 2.192, 3.954];[64.31, 578.22, 1731.71, 14.37, 124.98, 1116.46];[1.0006, 1.0031, 1.0065, 1.003, 0.9448, 0.9924, 1.0132, 1.0049, 1.0477, 1.031, 0.9565, 0.9917, 0.9844, 0.9998, 0.9999, 1.0306, 1.0089, 1.0615, 1.0121, 0.9585, 0.9766, 1.0302, 0.9193, 0.9327, 1.0005, 1.0475, 1.0654, 0.9891, 1.053, 1.0036, 0.9234, 0.9996]
274;parcialmente_nublado;31,38;1,1656;[92.92, 36.9, 839.35, 39.35, 33.23, 123.9];[2.533, 1.064, 1.389, 3.433, 2.451, 1.438];[235.35, 39.27, 1165.52, 135.09, 81.45, 178.17];[0.9174, 0.9884, 0.9779, 0.9933, 0.972, 0.9246, 0.9817, 1.0465, 1.0631, 1.122, 1.0846, 0.9402, 0.9796, 0.9989, 0.9957, 1.0035, 1.1204, 0.9459, 0.9643, 1.0822, 0.9692, 1.0197, 1.0517, 1.0243, 1.0096, 1.0469, 0.9553, 0.9752, 1.0268, 0.8965, 1.0708, 1.0152]
275;nublado;93,03;3,4561;[473.42, 463.34, 519.01, 468.54, 1090.77, 441.07];[1.061, 2.317, 1.672, 1.086, 2.413, 1.618];[502.31, 1073.6, 868.02, 509.03, 2631.52, 713.59];[0.9131, 0.9815, 1.1032, 1.0332, 0.9895, 1.0349, 0.9739, 0.96, 1.0852, 0.9429, 0.9823, 1.0153, 0.9532, 1.0325, 0.9847, 1.0332, 1.0293, 0.9878, 1.0855, 0.9667, 1.0674, 1.0587, 1.0885, 1.0087, 0.9606, 1.1038, 0.9833, 0.9593, 0.9905, 0.9509, 1.0263, 0.9697]
276;ceu_aberto;33,74;1,2534;[554.41, 25.31, 109.18, 109.68, 60.75, 394.03];[3.532, 3.489, 3.922, 2.371, 1.292, 3.296];[1957.99, 88.31, 428.25, 260.09, 78.46, 1298.86];[0.9402, 0.977, 1.04, 0.9984, 1.015, 0.9858, 0.947, 0.9881, 0.9489, 0.9457, 1.0603, 0.979, 0.9629, 1.0809, 1.0407, 0.9814, 1.0214, 0.9882, 0.9654, 1.0237, 0.9838, 1.0038, 1.0511, 1.0456, 0.9725, 1.0243, 0.9436, 1.0225, 1.0074, 1.0189, 0.9851, 1.1042]
277;ceu_aberto;72,43;2,6907;[270.36, 631.36, 261.63, 847.6, 529.49, 150.28];[2.186, 3.003, 3.683, 1.536, 2.544, 1.356];[590.95, 1896.03, 963.68, 1302.02, 1347.02, 203.83];[1.0478, 0.9433, 1.0114, 0.9705, 1.035, 0.9601, 1.0386, 0.9921, 0.9531, 1.0032, 0.9031, 0.972, 1.0169, 0.9114, 0.8714, 0.883, 1.0664, 0.9962, 0.9734, 1.0473, 0.9798, 1.0134, 1.0013, 0.9765, 1.0147, 1.0387, 0.9908, 0.977, 0.9829, 0.8851, 1.0142, 0.9395]
278;ceu_aberto;64,69;2,4034;[454.78, 76.58, 337.63, 972.67, 220.3, 341.43];[2.481, 3.588, 2.967, 1.301, 3.596, 3.496];[1128.53, 274.79, 1001.67, 1265.06, 792.1, 1193.72];[0.9891, 1.0811, 0.9933, 1.081, 1.0282, 1.0176, 0.9943, 1.0487, 1.0056, 0.9534, 0.9517, 1.0211, 0.9546, 0.9969, 1.0529, 1.0152, 0.9639, 1.0705, 1.0274, 1.0509, 0.8866, 1.0165, 1.0421, 1.085, 0.9268, 1.0603, 1.0822, 0.8991, 1.0239, 1.0309, 0.9836, 0.9755]
279;ceu_aberto;96,26;3,576;[257.49, 508.15, 388.2, 1730.71, 56.71, 634.74];[3.538, 3.964, 3.096, 2.14, 2.235, 2.055];[911.11, 2014.48, 1201.94, 3703.39, 126.77, 1304.42];[1.074, 1.032, 0.9837, 1.0623, 1.0223, 1.0116, 1.0113, 1.0233, 1.0253, 1.1098, 0.9903, 0.9918, 0.9382, 0.9974, 1.0931, 1.0492, 0.9728, 1.0015, 0.9352, 0.9515, 1.0075, 0.9753, 0.9478, 1.0245, 0.9959, 0.9216, 0.8962, 0.9715, 0.9206, 0.9066, 1.0564, 0.9951]
280;parcialmente_nublado;77,67;2,8855;[522.08, 857.89, 550.61, 97.53, 592.2, 265.17];[2.389, 3.765, 2.08, 2.836, 2.09, 1.284];[1247.47, 3229.7, 1145.21, 276.58, 1237.97, 340.52];[1.1118, 0.9465, 0.9146, 0.9278, 1.0453, 0.9703, 0.992, 1.0381, 0.9921, 1.0102, 1.0268, 0.9785, 0.9917, 1.0121, 1.0434, 0.9604, 0.849, 1.034, 1.0464, 1.01, 1.0134, 0.9718, 1.025, 1.0427, 1.0028, 1.1246, 0.9218, 1.0081, 0.9413, 1.044, 0.9209, 0.9333]
281;parcialmente_nublado;76,38;2,8377;[273.67, 740.04, 795.23, 587.74, 193.41, 247.59];[1.843, 1.031, 3.751, 3.058, 3.069, 2.717];[504.42, 762.8, 2982.78, 1797.48, 593.54, 672.7];[1.075, 0.9595, 1.0484, 0.9808, 0.9931, 0.9453, 0.9153, 0.9984, 0.9522, 1.0464, 0.9859, 1.0154, 1.0684, 0.9257, 0.9638, 1.009, 1.0156, 1.0552, 1.0434, 1.0048, 1.0152, 1.0166, 0.9265, 0.9922, 1.0124, 1.0229, 0.9538, 0.9366, 0.9883, 1.0984, 0.959, 1.0587]
282;parcialmente_nublado;88,83;3,2999;[1568.19, 62.02, 387.01, 705.03, 341.73, 235.96];[2.966, 1.81, 2.047, 3.977, 2.909, 3.619];[4650.76, 112.28, 792.37, 2803.78, 994.22, 853.9];[1.0272, 1.0549, 0.9752, 1.0397, 1.0582, 1.088, 0.9447, 1.0204, 0.9519, 0.9498, 1.018, 1.0039, 1.0573, 0.9827, 0.9933, 1.0106, 0.9569, 0.9638, 1.0558, 0.9726, 1.0591, 1.0304, 0.9226, 1.0265, 1.0261, 1.0211, 0.9929, 0.953, 1.0673, 0.9949, 0.9558, 1.0229]
283;ceu_aberto;50,62;1,8805;[218.44, 20.07, 131.33, 1072.68, 269.05, 168.94];[2.599, 1.131, 3.872, 3.785, 3.047, 1.297];[567.74, 22.7, 508.52, 4059.57, 819.86, 219.12];[0.9716, 0.9737, 0.927, 1.0049, 1.0215, 1.093, 1.0235, 0.9775, 0.932, 0.9389, 0.9352, 1.0939, 1.0144, 0.9709, 0.952, 0.9572, 0.9695, 1.0658, 0.9985, 0.9276, 1.1155, 0.943, 0.9705, 1.0655, 1.0208, 0.9765, 0.9384, 0.9517, 0.9547, 1.0004, 1.0096, 0.9926]
284;nublado;99,17;3,6843;[1287.1, 566.03, 216.95, 85.38, 1139.43, 389.43];[1.688, 2.14, 2.779, 3.015, 2.936, 3.59];[2173.19, 1211.24, 602.87, 257.43, 3344.8, 1397.99];[1.03, 0.9384, 1.0056, 0.9536, 0.9306, 1.0205, 1.0579, 0.9808, 0.9894, 0.9431, 1.0004, 1.038, 1.0396, 1.0273, 0.9691, 0.9675, 1.0398, 1.0406, 0.9914, 0.9787, 1.0584, 0.982, 1.0373, 0.9932, 0.9476, 1.0806, 1.006, 0.9645, 0.9305, 0.9355, 0.9814, 1.0963]
285;parcialmente_nublado;75,66;2,8107;[138.5, 43.33, 1020.24, 609.23, 589.88, 409.5];[3.076, 2.965, 1.318, 3.702, 3.643, 3.244];[426.02, 128.5, 1344.96, 2255.19, 2149.17, 1328.25];[1.0048, 1.0384, 1.0243, 0.9973, 1.1076, 0.9727, 1.0727, 0.9323, 1.0407, 1.0718, 0.9046, 1.0069, 1.0358, 1.0126, 1.0189, 1.0068, 0.9453, 1.1184, 0.9748, 1.0217, 0.9677, 0.8862, 0.9538, 0.9276, 1.0546, 0.9697, 0.9743, 0.9468, 1.0047, 0.9642, 1.0496, 1.0151]
286;parcialmente_nublado;37,11;1,3785;[269.97, 486.09, 259.16, 31.21, 209.25, 122.82];[2.03, 1.956, 3.788, 3.228, 1.402, 2.428];[548.07, 950.6, 981.77, 100.72, 293.27, 298.2];[1.0567, 0.9157, 0.9258, 0.9947, 0.9368, 1.0611, 0.9411, 1.0779, 1.0518, 1.0618, 1.0944, 1.0041, 0.9494, 0.9948, 0.9717, 0.9645, 1.0075, 0.9844, 0.9624, 0.9877, 1.0274, 1.0478, 0.9199, 0.9848, 0.9929, 0.9409, 0.994, 1.0074, 1.0259, 1.0039, 0.956, 1.1006]
287;nublado;36,31;1,3491;[38.58, 455.82, 230.7, 56.14, 470.32, 97.5];[2.527, 1.919, 3.795, 1.685, 2.26, 3.878];[97.49, 874.53, 875.52, 94.58, 1062.8, 378.16];[1.0547, 0.9315, 0.9649, 0.9835, 1.0356, 1.0109, 1.1072, 0.9597, 0.9303, 1.0895, 0.9285, 1.0342, 0.9511, 0.8965, 0.9813, 1.045, 0.9389, 1.0288, 1.0381, 0.9364, 0.9886, 1.0789, 1.0325, 0.9869, 1.0208, 0.9657, 1.0557, 1.0557, 1.006, 1.0115, 0.9501, 0.9324]
288;ceu_aberto;62,62;2,3262;[15.94, 813.81, 20.37, 1050.75, 343.44, 81.9];[2.355, 3.985, 1.915, 1.808, 1.354, 2.791];[37.53, 3243.01, 39.01, 1900.16, 465.03, 228.61];[1.008, 0.9877, 1.0071, 0.9523, 1.0079, 0.956, 1.008, 1.067, 1.013, 1.0161, 1.0409, 0.9298, 1.0859, 0.9472, 1.044, 1.0373, 0.9549, 1.0504, 1.0249, 1.0945, 1.0097, 0.9946, 0.9743, 0.9128, 0.9841, 0.9862, 1.0131, 0.9288, 0.988, 1.0288, 1.0338, 0.907]
289;ceu_aberto;78,12;2,902;[319.15, 1025.04, 427.98, 139.75, 70.41, 919.72];[2.157, 3.738, 2.621, 2.045, 2.047, 1.394];[688.45, 3831.93, 1121.63, 285.82, 144.13, 1282.38];[1.0777, 1.0886, 0.9712, 1.0289, 0.9724, 0.9857, 0.9697, 0.9138, 1.0048, 1.0144, 0.9664, 1.0544, 0.9782, 0.9681, 1.0263, 0.9229, 1.0453, 0.9799, 1.0495, 1.0644, 1.032, 0.9594, 0.9375, 0.9283, 1.0551, 0.9933, 0.97, 0.9934, 1.054, 1.0389, 1.0219, 1.0319]
290;nublado;25,09;0,9321;[62.95, 208.97, 22.23, 133.24, 96.5, 408.24];[1.33, 3.048, 2.22, 2.763, 1.617, 2.829];[83.75, 637.03, 49.35, 368.17, 156.0, 1154.95];[0.9745, 1.0103, 1.0128, 1.0115, 1.0076, 0.9679, 0.9918, 1.0016, 1.0098, 0.9967, 1.0365, 1.0047, 1.0101, 0.9809, 0.9474, 1.0077, 1.0604, 1.0222, 0.9591, 1.0407, 0.9832, 1.0357, 0.9816, 1.0177, 0.9741, 0.9753, 0.9217, 1.0256, 1.0185, 1.0213, 1.0138, 0.9619]
291;nublado;87,04;3,2335;[219.25, 261.0, 137.92, 2304.17, 135.45, 175.71];[1.738, 2.718, 3.641, 2.255, 2.639, 1.499];[380.98, 709.4, 502.1, 5195.17, 357.43, 263.47];[0.9684, 0.9798, 1.0828, 0.9175, 1.0383, 0.9761, 0.9736, 0.9444, 1.0377, 0.9904, 0.9841, 1.0055, 0.9915, 0.9, 0.9755, 1.0448, 0.9247, 0.9455, 0.9787, 0.9637, 0.9986, 0.9453, 0.9806, 0.9976, 1.0324, 1.0622, 0.9869, 1.0944, 0.9908, 1.0414, 1.0966, 1.007]
292;ceu_aberto;59,72;2,2185;[550.1, 17.27, 722.29, 294.6, 630.73, 3.49];[3.608, 1.36, 3.164, 2.25, 3.043, 2.885];[1984.68, 23.49, 2285.09, 662.71, 1919.45, 10.06];[1.0027, 0.9372, 1.023, 0.9151, 0.9832, 1.0096, 1.1189, 1.0159, 1.007, 0.9968, 0.9329, 1.0043, 1.0051, 0.9516, 0.9407, 0.9759, 1.0032, 0.9771, 0.9475, 1.0145, 1.0269, 1.0061, 0.9719, 1.0297, 0.9905, 0.9405, 1.0518, 1.0177, 0.994, 0.9214, 0.9628, 1.1009]
293;parcialmente_nublado;28,01;1,0405;[121.09, 356.4, 410.27, 128.44, 4.49, 19.85];[2.76, 1.372, 1.448, 3.316, 3.252, 3.528];[334.23, 488.83, 594.17, 425.95, 14.61, 70.05];[0.9949, 0.9934, 1.0262, 1.0394, 1.0031, 1.056, 1.0329, 0.9106, 0.9298, 1.0591, 0.9877, 1.0082, 1.057, 0.9997, 1.0019, 0.9566, 1.0185, 1.0293, 0.9711, 0.9539, 1.1313, 0.9954, 0.9658, 1.0353, 0.9975, 0.9457, 1.0242, 0.9573, 1.0788, 1.0247, 0.9862, 1.0055]
